City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Arroyo,ES,41.6096,-4.7969,62.15,72,0,4.61,clear sky
194,Joao Pinheiro,BR,-17.7425,-46.1725,47.8,57,70,5.75,broken clouds
195,Nouadhibou,MR,20.931,-17.0347,66.69,80,7,22.1,clear sky
196,Rozhyshche,UA,50.9154,25.2691,42.13,86,0,5.59,clear sky
197,Rawson,AR,-43.3002,-65.1023,53.22,32,100,15.12,overcast clouds
198,Vao,NC,-22.6667,167.4833,75.43,81,3,17.05,clear sky
199,Midland,US,31.9974,-102.0779,97.48,6,0,8.05,clear sky
200,Akhtubinsk,RU,48.2795,46.1722,52.97,94,100,3.0,light rain
201,Pamanukan,ID,-6.2842,107.8106,81.16,79,85,2.71,overcast clouds
202,Porto Novo,BJ,6.4965,2.6036,80.47,85,98,9.04,overcast clouds
203,Constitucion,CL,-35.3333,-72.4167,51.58,89,100,8.99,overcast clouds
204,Souillac,MU,-20.5167,57.5167,73.78,73,20,8.05,few clouds
205,Sahuaripa,MX,29.05,-109.2333,94.06,10,0,14.97,clear sky
206,Flin Flon,CA,54.7682,-101.865,54.37,41,99,4.0,overcast clouds
207,Faya,SA,18.3851,42.4509,61.32,23,10,6.64,clear sky
208,Christchurch,NZ,-43.5333,172.6333,65.41,68,56,13.8,broken clouds
209,Saskylakh,RU,71.9167,114.0833,22.82,92,14,10.6,few clouds
210,Pokhara,NP,28.2333,83.9833,76.62,43,6,3.69,clear sky
211,Doha,QA,25.2867,51.5333,91.38,32,0,14.97,clear sky
212,Gayeri,BF,12.6497,0.4931,91.94,29,99,2.15,overcast clouds
213,Tari,NG,12.4086,4.4914,91.0,27,1,2.17,clear sky
214,Aripuana,BR,-9.1667,-60.6333,63.3,69,42,2.46,scattered clouds
215,San Cristobal,VE,7.7669,-72.225,68.18,95,100,3.67,overcast clouds
216,Ovre Ardal,NO,61.3167,7.8,43.16,90,99,1.59,overcast clouds
217,Teguldet,RU,57.3064,88.1667,62.46,57,100,6.08,overcast clouds
218,Coihaique,CL,-45.5752,-72.0662,29.01,100,0,0.0,clear sky
219,Thompson,CA,55.7435,-97.8558,47.46,33,46,8.46,scattered clouds
220,Kaduy,RU,59.2,37.15,38.62,91,100,3.98,overcast clouds
221,Gasa,PS,31.5,34.4667,65.17,86,0,2.66,clear sky
222,Qurayyat,SA,31.3318,37.3428,68.36,38,0,8.77,clear sky
223,San Patricio,US,28.017,-97.5169,83.17,67,73,16.73,broken clouds
224,Kokstad,ZA,-30.5472,29.4241,49.53,71,14,5.41,few clouds
225,Luebo,CD,-5.35,21.4167,69.96,82,86,1.43,overcast clouds
226,Kloulklubed,PW,7.0419,134.2556,72.1,81,100,14.12,moderate rain
227,San Quintin,MX,30.4833,-115.95,62.15,69,1,7.96,clear sky
228,Stephenville,US,32.2207,-98.2023,93.99,29,0,13.8,clear sky
229,Port Moresby,PG,-9.4431,147.1797,84.6,67,28,9.35,scattered clouds
230,Lebu,CL,-37.6167,-73.65,51.48,88,100,9.84,overcast clouds
231,Capljina,BA,43.1214,17.6844,50.02,60,0,7.94,clear sky
232,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.21,41,0,20.54,clear sky
233,Saldanha,ZA,-33.0117,17.9442,59.11,75,0,11.16,clear sky
234,Lavrentiya,RU,65.5833,-171.0,33.94,99,85,6.15,overcast clouds
235,Hokitika,NZ,-42.7167,170.9667,57.79,77,87,19.55,overcast clouds
236,Tiksi,RU,71.6872,128.8694,27.52,89,100,10.49,overcast clouds
237,Port Blair,IN,11.6667,92.75,79.72,90,100,20.49,overcast clouds
238,Provideniya,RU,64.3833,-173.3,33.91,93,100,6.71,fog
239,Umm Lajj,SA,25.0213,37.2685,80.78,61,0,8.52,clear sky
240,Thinadhoo,MV,0.5333,72.9333,83.16,74,99,13.58,overcast clouds
241,Annau,TM,37.8876,58.516,70.5,53,2,1.9,clear sky
242,Grindavik,IS,63.8424,-22.4338,46.87,93,100,4.61,overcast clouds
243,Okhotsk,RU,59.3833,143.3,40.41,76,99,1.72,overcast clouds
244,Marsa Matruh,EG,31.3525,27.2453,71.92,41,5,7.87,clear sky
245,Manggar,ID,-2.8833,108.2667,84.24,72,22,4.25,few clouds
246,Pella,RU,59.7775,30.8181,44.96,95,95,3.58,overcast clouds
247,Lake Havasu City,US,34.4839,-114.3224,101.07,7,0,6.91,clear sky
248,Kalakamati,BW,-20.5929,27.3121,54.16,66,1,6.73,clear sky
249,Kangalassy,RU,62.3464,129.9628,53.53,52,44,5.14,scattered clouds
250,Tuy Hoa,VN,13.0833,109.3,81.41,82,95,2.91,overcast clouds
251,Disa,IN,24.25,72.1667,80.8,69,0,4.74,clear sky
252,Kalianget,ID,-7.05,113.9333,81.88,81,100,10.25,light rain
253,Port Lincoln,AU,-34.7333,135.8667,60.22,59,0,15.73,clear sky
